,Unnamed: 0,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL
11,11,Chris Hahn,@ChristopherHahn,2021-04-01T23:53:56.000Z,Matt Gaetz Tucker Carlson and my COViD Shot. What a week.   lol,"Chris Hahn
@ChristopherHahn
Matt Gaetz Tucker Carlson and my COViD Shot. What a week. lol",,9,43,213,"['https://pbs.twimg.com/card_img/1388757285594275846/jGJq5VtX?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1255264340/2sic_me_mini.jpg']",https://twitter.com/ChristopherHahn/status/1377771242695053316
12,12,Thom Bird,@ThomboyD,2021-04-01T23:56:29.000Z,"Free Testing at 3 Black Churches, All San Diegans 50 and Older Can Get COVID-19 Vaccine | News | San Diego County News Center","All San Diegans 50 and Older Can Get COVID-19 Vaccine
More San Diegans will be able to get vaccinated against COVID-19 now that the state and the County have expanded eligibility to include all people between 50 and 64 years of age, the first group in...
countynewscenter.com",,,3,13,['https://pbs.twimg.com/card_img/1387917868952551426/YxLQKL5k?format=jpg&name=small'],https://twitter.com/ThomboyD/status/1377771885014884369
13,13,Jonathan Rosa,@DrJonathanRosa,2021-04-01T23:59:14.000Z,"“Latinos Account for Nearly Three-Quarters of COVID-19 Deaths Among 35- to 49- Year Olds in California”

If your analysis of Latinidad cannot account for this, then it is not an analysis of Latinidad.","California's Working-Age Latinos Are Disproportionately Dying of COVID-19 | KQED
As of March 24, nearly 10,000 Latinos under age 65 had died from COVID-19, four times the number of white Californians.
kqed.org",,1,71,187,['https://pbs.twimg.com/card_img/1385405863150587904/nwSP62zx?format=jpg&name=small'],https://twitter.com/DrJonathanRosa/status/1377772577423171595
14,14,"Jolene, I Only Talk About Kittens Now",@jolenesbrain,2021-04-01T23:57:39.000Z,Congratulations on having so much privilege that you think covid restrictions = oppression.,,,,1,10,[],https://twitter.com/jolenesbrain/status/1377772177773133825
15,15,chaotic energy,@royasdigitalego,2021-04-01T23:53:23.000Z,thread on ontario's trainwreck of a public health strategy re: covid,"Quote Tweet
Leyley
@AshleyComrie
 · Apr 2
So, as a (relatively lol) young person who spent two months in hospital nearly dying  of Covid and just had my 4th post-covid surgery last week, I’m about to rant about this new Ontario Emergency break” so bear with me through my very first Twitter thread:
Show this thread",,,4,9,['https://pbs.twimg.com/profile_images/1377838971179438084/BJ-xnvqG_mini.jpg'],https://twitter.com/royasdigitalego/status/1377771101883928577
16,16,Social Science in Humanitarian Action Platform,@SSHAP_action,2021-04-01T23:53:26.000Z,Great tweet about one of our latest briefs on smart cities and #COVID19,"Quote Tweet
NIUA_India
@NIUA_India
 · Apr 1
#SDIC @NIUA_India has published a #policy brief on the learnings around the use of technology & community data during the global pandemic in Indian cities under #SmartCitiesMission  (1/2) 
Read it here: https://bit.ly/2Pgv3LR
Show this thread",,,5,6,"['https://pbs.twimg.com/profile_images/644845493885865985/5XDAwdrX_mini.jpg', 'https://pbs.twimg.com/media/Ex3tPsCWEAECtoj?format=png&name=900x900']",https://twitter.com/SSHAP_action/status/1377771116777906178
17,17,Shankar Dutta,@shankardutta117,2021-04-01T06:14:44.000Z,"Good morning World . ham sath sath hey 

Fiji PM Thanks India For One Lakh Doses Of COVID-19 Vaccines
https://republicworld.com/world-news/rest-of-the-world-news/fiji-pm-thanks-india-for-one-lakh-doses-of-covid-19-vaccines.html… via NaMo App",,,,,,"['https://pbs.twimg.com/media/Ex3hM_KUYAMgOBR?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ex3hNk_VcAYOdv8?format=jpg&name=360x360']",https://twitter.com/shankardutta117/status/1377504686878519299
18,18,Sumedha Sharma,@sumedhasharma86,2021-04-01T16:54:03.000Z,"#BreakingNews 381 #COVID19 cases in Gurugram situation set to worsen. Don't wate to be told but go #MaskUp get #vaccine and practise #SocialDistancing . 
@DC_Gurugram
 #Covid_19 #CoronavirusPandemic 
@COVID19_INDIA
 @COVIDNewsByMIB
 @coronaviruscare",,,,1,4,['https://pbs.twimg.com/media/Ex5zgJYVcAAwdLz?format=jpg&name=900x900'],https://twitter.com/sumedhasharma86/status/1377665575569133568
19,19,The Mad Marketer,@wbhavay,2021-04-01T05:23:36.000Z,"Still hoping, china comes up with a statement that covid was an April fool's joke. 

#AprilFoolsDay #COVID",,,,,8,[],https://twitter.com/wbhavay/status/1377491819014021120
20,20,OXYGEN,@MILVETERAN,2021-04-01T15:27:40.000Z,900+ Fresh Covid cases in Lucknow . Situation Serious ,,❗,,5,5,[],https://twitter.com/MILVETERAN/status/1377643833991782407
21,21,Nikhil Nanda,@iamnikhilnanda,2021-04-01T09:06:55.000Z,"Gains made by #VaccinationDrive painstaking diligent implementation of #Covid19 guidelines can evaporate in no time if we go lax on #MaskUp #DoGajKiDooriMaskHaiZaruri rules. Follow, at least for sake of #coronawarriors who are not among us 
@drharshvardhan","कोरोना की नई लहर हुई विकराल, 24 घंटे में 72,330 नए केस, 459 लोगों की मौत
कोरोना वायरस संक्रमण की नई लहर अब विकराल हो चुकी है। बीते 24 घंटों में देश भर में कोरोना संक्रमण के 72,330 नए केस सामने आए हैं। यही नहीं मौतों का आंकड़ा भी तेजी से बढ़ते हुए 459 पर पहुंच गया है। अब...
livehindustan.com",,2,9,109,['https://pbs.twimg.com/card_img/1387693751494234116/JnrPQqDx?format=jpg&name=small'],https://twitter.com/iamnikhilnanda/status/1377548016962310144
22,22,Sanjay Bragta,@SanjayBragta,2021-04-01T16:37:45.000Z,"Maharashtra: 43,183 new cases of corona have been registered in the last 24 hours, while 249 people have died. #Gujarat reports its highest single-day spike of 2,410 #COVID19 cases","Quote Tweet
Sanjay Bragta
@SanjayBragta
 · Apr 1
NCR is showing surge in #COVID19 cases, Delhi recorded 2790 cases, highest number after December 8, Noida 93 cases in past 24 hours. Punjab reported 60 deaths and 3187 new cases in 24 hours. Who cares ?",,,3,16,['https://pbs.twimg.com/profile_images/1357030766539014146/QW23o0Rc_mini.jpg'],https://twitter.com/SanjayBragta/status/1377661473095176196
23,23,Anurag Singh Bohra,@AnuragfromKashi,2021-04-01T04:52:50.000Z,"The rise in #COVID19 cases is related to the #covidnewstrain. The vaccines were developed for #coronavirus first wave. It's high time #COVIDIOTS #WearAMask
 & maintain #SocialDistancing. 
@PMOIndia
, 
@HMOIndia
 & 
@MoHFW_INDIA
 must get into action. #CovidIsntOverYet #CoronaIsNotAJoke",,,,,,[],https://twitter.com/AnuragfromKashi/status/1377484076022566915
24,24,Saidham,@saidhamngo,2021-04-01T04:14:44.000Z,"Bhagwat Katha which was scheduled to be held in Sai Dham, Sector 86, Faridabad from 8th to 14th April HAS BEEN CANCELLED DUE TO COVID NOTIFICATION OF THE HARYANA GOVT.",,,,,2,[],https://twitter.com/saidhamngo/status/1377474487776550912
25,25,Mudit,@MuditHastir,2021-04-01T17:46:50.000Z,"Total Covid Cases till date :

US : 31,175,882 
Brazil : 12,753,258
India : 12,753,258 
and
CHINA : 90,217 
Source : Worldometer ! 

And apparently it all started in Wuhan 
#WuhanVirus",,,,,,[],https://twitter.com/MuditHastir/status/1377678857369571329
26,26,avli,@avli_verma,2021-04-01T08:40:01.000Z,My sympathies and highest regard to the bank employees!  *from demonetisation to gst to abrupt changes in other policies to protesting against bank privatization to working through the covid to making incessant death claims ...must have been  a heavy year for them*,"Quote Tweet
THE SKIN DOCTOR
@theskindoctor13
 · Apr 1
Replying to @nsitharaman
How can this be an oversight? Such policy decisions can't be just typed and broadcasted by some Babu or PA in a jiffy without the perusal of who's who of fin min. It looked deliberate and probably withdrawan due to outrage or the fear of impact on ongoing elections.",,,,,['https://pbs.twimg.com/profile_images/1381138399680102400/Hw-JFQhL_mini.jpg'],https://twitter.com/avli_verma/status/1377541248089681920
27,27,Manoj Mishra,@manojmishra_100,2021-04-01T16:28:47.000Z,"Six months in a row over ₹1 lakh cr #GST collection, with ₹1.24 lakh cr in March, is really commendable!
Hope, this trend continues with better compliance.
With sections of economy yet to fully recover from #COVID shock, it augers well for a better #fiscalmanagement by Govt.","Quote Tweet
Prakash Javadekar
@PrakashJavdekar
 · Apr 1
At 1.24 Lakh Crore, GST collections for the month of March 2021, hit a record high since the introduction of GST. This is the sixth month in a row that GST revenues have crossed Rs 1 lakh cr. 

India under PM Shri @narendramodi is on the path of Growth, despite the pandemic.",,,,6,"['https://pbs.twimg.com/profile_images/1305535718647713798/_lzITGyP_mini.png', 'https://pbs.twimg.com/media/Ex5MxVNXABM_7Qq?format=png&name=small']",https://twitter.com/manojmishra_100/status/1377659215838208005
28,28,Stigmabase | AS,@PairsonnalitesA,2021-04-01T14:06:32.000Z,"INNR — How digital initiatives can help narrow the gender gap during COVID-19: There was a surge in India's usage of healthcare tele-consultation, with majority being first-time users. Telemedicine provided women with the ... View article... http://dlvr.it/RwplgC",,,,1,,[],https://twitter.com/PairsonnalitesA/status/1377623417822838804
29,29,Aneesha Bedi,@AneeshaBedi,2021-04-01T04:04:12.000Z,"Drug maker to cold chain to hospital — how Covid vaccines reach beneficiaries across states

Be it transferring the money in a bank account for pvt hospitals or contacting the district immunisation officer for Govt hospital, I explain:  https://theprint.in/health/drug-maker-to-cold-chain-to-hospital-how-covid-vaccines-reach-beneficiaries-across-states/631598/… via 
@ThePrintIndia","Drug maker to cold chain to hospital — how Covid vaccines reach beneficiaries across states
From today, the Indian Covid immunisation drive enters a new chapter as a new section of population — all those aged 45 and above — is targeted.
theprint.in",,,2,9,['https://pbs.twimg.com/card_img/1387753631584186369/nU4p4VWr?format=jpg&name=small'],https://twitter.com/AneeshaBedi/status/1377471834061381632
30,30,Ajay Awtaney,@LiveFromALounge,2021-04-01T02:50:55.000Z,"Morning folks. Today, 45 and upwards folks qualify for the covid19 vaccines in India. So, get yours if you qualify. Let’s get rid of this pandemic soonest.",,,,1,21,[],https://twitter.com/LiveFromALounge/status/1377453391387914248
31,31,सुशील राघव Sushil Raghav,@Sushil_Raghav,2021-04-01T07:57:46.000Z,"Update on COVID-19 Vaccination*

Vaccination to be offered on ALL DAYS of April month at all Public and Private COVID Vaccination Centres, including gazetted holidays.",,,,,1,[],https://twitter.com/Sushil_Raghav/status/1377530615843627011
32,32,Syed Ahmad Afzāl (अफ़्ज़ाल),@afzalistan,2021-04-01T14:41:58.000Z,"In Delhi, barring the hospitals, I have scarcely witnessed people maintaining social distance & donning the mask, 2 things which can actually help us recover from this 2nd and more lethal surge of #COVID19. Please adhere to the guidelines and help save each other.

#COVIDー19","Quote Tweet
NDTV
@ndtv
 · Apr 1
#coronavirus",,,1,2,"['https://pbs.twimg.com/profile_images/570440108424171520/QuGYd7jH_mini.png', 'https://pbs.twimg.com/media/Ex5RDayXEAs7dp7?format=jpg&name=small']",https://twitter.com/afzalistan/status/1377632335567314949
33,33,Tansukh Bitter,@Tansukh_bitter,2021-04-01T13:50:04.000Z,Bharat sarkar election kar sakte hai lekin Delhi University ko kyu nhi Reopen kar rhi hai election hota hai tab covid19 nhi hota lekin Jab Student ki bat Aati hai toh Covid-19 Aazata hai Aisa kyu Btahiye  #Sudent_ekta #delhiuniversity #delhiuniversity #reopendu #reopendu,,,,1,1,[],https://twitter.com/Tansukh_bitter/status/1377619273338748942
34,34,𝒜𝓃𝓊𝒿 𝒥𝒶𝒾𝓃,@Jain_Anuj81,2021-04-01T14:48:13.000Z,"भारत के किस राज्य में कितना जुर्माना है ? मास्क न पहनने पर । #COVID #mask #CMO #India #Delhi #mumbai #kolkatta #madras #IPL2021
 #MatchDay2021 #बंगाल #नंदीग्राम #रामराज्य #RajasthanDay #ncr",,,,1,,[],https://twitter.com/Jain_Anuj81/status/1377633906103615493
35,35,गिरिजेश कुमार گریجیش کمار یادو,@Iam_GIRIJESH,2021-04-01T17:11:56.000Z,भारत #COVID19 से कुछ इस तरह लड़ रहा है इसलिए वर्तमान समय में तमाम सरकारी निर्देशों और बढ़ते हुए केसों के बावजूद जनता में पिछले साल जैसा डर और जागरूकता नहीं है।जनता को ये बात समझ में आ गयी है कि कुछ खेला जरूर चल रहा है एक तरफ इतनी भीड़ में भी कोई दिक्कत नहीं दूसरी तरफ इतना दिखावा?,,,,,1,['https://pbs.twimg.com/media/Ex53oSzUUAIbbRG?format=jpg&name=small'],https://twitter.com/Iam_GIRIJESH/status/1377670073448468483
36,36,AMIT CHOUDHARY,@amitchoudhar_y,2021-04-01T10:30:30.000Z,"लखनऊ :फन मॉल सील किया गया ।
डीएम अभिषेक प्रकाश की बड़ी कार्रवाई ।
#COVID19 की गाइडलाइंस का उलंघन करने पर मॉल सील किया गया । 
नोटिस दिए जाने के बाद भी कोविड-19 प्रोटोकॉल का लगातार हो रहा था उल्लंघन ।
@AdminLKO
#COVID",,,,1,1,['https://pbs.twimg.com/ext_tw_video_thumb/1377569013186760706/pu/img/RjiRCYvvFPdhh7ha.jpg'],https://twitter.com/amitchoudhar_y/status/1377569051199741955
37,37,Stroller AbhiJai,@abhileshjaiswal,2021-04-01T11:46:51.000Z,"दिल्ली में Govt. Center पे Covid Vaccination सिस्टम बिल्कुल चरमराया हुआ है। पहले से Online Registration करवाने के बावजूद Vaccine नहीं लगी और जिनके Registration नहीं है उनको दे दिया।
@ArvindKejriwal
 @msisodia
 @SatyendarJain
 @MoHFW_INDIA
 @CMODelhi
 @PMOIndia
 @drharshvardhan",,,,,,[],https://twitter.com/abhileshjaiswal/status/1377588267151847424
38,38,varunsaxena,@i_M_Varun07,2021-04-01T16:31:24.000Z,"शकरपुर मैंन मार्केट का कार्य पिछले एक साल चार महीने से ज़्यादा हो गया है अभी तक बने का नाम नहीं ले रही covid की वजह से वैसे ही काम मार्केट में कम है और सड़क बनकर नहीं दे रहीं विधायक 
@abhayvermabjp
 जी देखने तक नहीं आते 
@NitinTyagiAAP
 @sharaddikshit1
 @ipathak25
 @BJP4India",,💙,,5,10,"['https://pbs.twimg.com/media/Ex5uWU-UcAUaIqe?format=jpg&name=small', 'https://pbs.twimg.com/media/Ex5uWi7U8AMxLdx?format=jpg&name=small', 'https://pbs.twimg.com/media/Ex5uWvwUYAYgysT?format=jpg&name=small']",https://twitter.com/i_M_Varun07/status/1377659875568746496
39,39,vinod bansal,@vinodbansal25,2021-04-01T10:36:34.000Z,"आज मेने Covid-19 की Covid shield  वैक्सीन लगवाई है यह पूरी तरह से सुरक्षित है
@CMODelhi
 @DaaruBaazMehta
 @ipathak25
 @AamAadmiParty
 @MANISHK29692587
 @Aap_PankajRai
 @AAPDelhi
 @SanjayAzadSln",,,,,2,['https://pbs.twimg.com/media/Ex4dJARU4AIVyB1?format=jpg&name=medium'],https://twitter.com/vinodbansal25/status/1377570579008512000
40,40,Vinod Gupta BJP,@vinodkguptabjp,2021-04-01T08:38:33.000Z,"आज 45+ वर्ष के लोगों के लिए COVID-19 #vaccination कैम्प का आयोजन भाजपा कार्यकर्ताओं और RWA के सहयोग से आयोजित किया  पार्षद जितेंद्र यादव जी ने केंद्रीय मंत्री श्री 
@KPGBJP
 जी की उपस्तिथि में #vaccineकी पहली डोज़ लगवाई  
@gopalsharmabjp
 @OPDhankar",,,,,3,"['https://pbs.twimg.com/media/Ex4CHgGWQAY6iUT?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ex4CHgPWQAAKU1B?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ex4CHgHXIAAZ9ZG?format=jpg&name=360x360']",https://twitter.com/vinodkguptabjp/status/1377540878064058368
41,41,Praveen Shankar Kapoor,@praveenskapoor,2021-04-01T02:32:23.000Z,".
@drharshvardhan
 जी 

जमीनी स्तर पर रिपोर्टिंग करने वाले पत्रकार 25 - 45 उम्र में आते हैं #COVID19 के खतरे का बीच रह कर काम करते हैं।

कृपया पत्रकारों को #Covidwarrior घोषित कर सभी उम्र के पत्रकारों को वरीयता पर vaccination दिया जाए।
@BJP4Delhi
 @TajinderBagga
 @Punitspeaks",,,,4,11,['https://pbs.twimg.com/media/Ex2uUTqUYAUaGIq?format=jpg&name=small'],https://twitter.com/praveenskapoor/status/1377448727447658500
42,42,Braham Pal Chhokar,@ChhokarPal,2021-04-02T06:13:21.000Z,"Got my First Shot of Covid-19 #CoviShield Vaccination today.

Absolutely seamless procedure, received SMS within minutes of its administration.

My deepest appreciation for Doctors, Health Care Workers,  
@MoHFW_INDIA
 & 
@PMOIndia",,,,,,[],https://twitter.com/ChhokarPal/status/1377866726327545857
43,43,BM Digital Utilization,@DigitalUtiliza1,2021-04-02T09:56:15.000Z,"May the faith you have in God bring you peace and happiness.
Have a blessed Good Friday

#goodfriday #easter #jesus #jumatagung #love #covid #happyeaster #easterweekend #jesuschrist #staysafe #friday #holyweek #church #faith #eastersunday #passover #christian #goodmorning #family",,,,,7,['https://pbs.twimg.com/media/Ex9dgBgUUAAHYL9?format=jpg&name=small'],https://twitter.com/DigitalUtiliza1/status/1377922818684284931
44,44,BN Singh,@BNSingh74929058,2021-04-02T11:26:46.000Z,"#COVID19 vaccination, 3.67 mil in last 24 hours, great aggression, Congo UHM",,,,,,['https://pbs.twimg.com/media/Ex9yNPoVIAMFJ-k?format=jpg&name=small'],https://twitter.com/BNSingh74929058/status/1377945599044055042
45,45,Yogya Empowering,@YogyaEmpowering,2021-04-02T11:59:27.000Z,"BIG: Delhi reports 3583 fresh cases of #Corona virus in #Delhi in the past 24 hours! 
CM- No #lockdown as of now..! 
Steps taken for #Hospital #Management 
No strict action against the rapid increase of #covid cases..!",,,,1,2,[],https://twitter.com/YogyaEmpowering/status/1377953824371920896
46,46,Anil Dhingra,@anildhingra_63,2021-04-02T07:44:08.000Z,Had my first shot of Covid-19 vaccine today. The injection was totally painless.,,,1,1,34,['https://pbs.twimg.com/media/Ex8_OKiVEAE2Mec?format=jpg&name=small'],https://twitter.com/anildhingra_63/status/1377889572890177545
47,47,Amrit Sagar,@mavrikc,2021-04-02T19:17:41.000Z,"India’s adoption rate to vaccine is horrible at this point.. People are not queuing up.. It’s strange !! But just like other things, we blame policies rather than doing what we as citizens need to do.. #GetVaccinated Do not find conspiracy theory around it but get a jab..#COVID19","Quote Tweet
Ashish K. Jha, MD, MPH
@ashishkjha
 · Apr 2
People ask whether vaccinations can really blunt the variants

May I present data from Israel?

About 55% of the population fully vaccinated

Infections are down more than 90% since peak

So yeah, high levels of vaccinations really can bring this pandemic under control
Show this thread",,,,2,"['https://pbs.twimg.com/profile_images/1206973402176606208/BB8EX4ci_mini.jpg', 'https://pbs.twimg.com/media/Ex-CugxXMAcNify?format=png&name=small']",https://twitter.com/mavrikc/status/1378064107740393472
48,48,#OʜʀɪRᴇᴘᴏʀᴛᴇʀ,@sanjeev_ohri,2021-04-02T20:58:52.000Z,"Just Watch! today Sh. #AmitShah has put end to #Coronavirus #Corona #COVID19 in Arambag, West Bengal and thousands of people can be together in one place.  #Delhi walo fadlo mera bonka. Fufiyo hai hum saare.","Quote Tweet
Amit Shah
@AmitShah
 · Apr 2
Some more pictures from Arambag, West Bengal.",,,1,1,"['https://pbs.twimg.com/profile_images/1180491411172413440/AunoqDQW_mini.jpg', 'https://pbs.twimg.com/media/Ex-L57SVoAYRP0o?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ex-L57QVoAAl0g8?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ex-L57WU4AQD9Ky?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ex-L57TVIAgpLol?format=jpg&name=360x360']",https://twitter.com/sanjeev_ohri/status/1378089574967042049
49,49,Girish Nair,@nairkgirish,2021-04-02T08:36:41.000Z,Maharashtra CM Uddhav Thackeray to address state at 8.30 pm. Get ready for more strict measures to contain the COVID-19 spread.,,,,,,[],https://twitter.com/nairkgirish/status/1377902795097993217
50,50,C Vikram Simhan,@vikramc16,2021-04-02T10:53:35.000Z,"Dump protocols and take a lift in a BJP candidate's car only to be stopped by alert locals and party workers 

Protocols are a joke in India !! 

Just like #Covid_19 protocols dumped during rallies but have to be followed at polling stations. ",,🤭 🤭,,,,[],https://twitter.com/vikramc16/status/1377937247920476162
51,51,PD,@pushpa0213,2021-04-02T20:08:31.000Z,"Durring COVId, marriage party gathering 100 plus, funeral 50, and poll campaign... Unlimited.",,,,,,[],https://twitter.com/pushpa0213/status/1378076901567176704
52,52,Vivek Sharma,@VivekVs1963,2021-04-02T16:58:33.000Z,"Covid ! As the central leadership can  not see the threat ,vthe same way you all can't see the crowd. Jai Ho!","Quote Tweet
Reshma Alam
@reshma_alam9
 · Apr 2
Those who can't see the crowd go for eye check up .
0:16
204.9K views
Manipulated media",,,,,"['https://pbs.twimg.com/profile_images/1382369648948166658/85yRAxqt_mini.jpg', 'https://pbs.twimg.com/ext_tw_video_thumb/1377912990494720001/pu/img/F5TUxfp8vAWcIpxW?format=jpg&name=small']",https://twitter.com/VivekVs1963/status/1378029095863287808
53,53,Abhijit_Ghosh,@BlackKn59506535,2021-04-02T02:25:53.000Z,"Hello 
@dmgbnagar
 where can we get our covid vaccine in Noida ?",,,,,,[],https://twitter.com/BlackKn59506535/status/1377809480440705024
54,54,lokesh singh,@reporterlokesh,2021-04-02T13:44:52.000Z,"Delhi reports 3,594 new COVID19 cases and 14 deaths in the last 24 hours. #Covid_19",,,,,,[],https://twitter.com/reporterlokesh/status/1377980351587385348
55,55,Anni Pandat0029,@PandatAnni,2021-04-02T12:46:56.000Z,"Mask distribution 
 #COVID19 #WearAMask
 @SumitRa15940256
 @InduSha76249705",,❤,1,,2,['https://pbs.twimg.com/media/Ex-EjjQVoAQxsPh?format=jpg&name=small'],https://twitter.com/PandatAnni/status/1377965772266381316
56,56,Samta Kapur_Arora,@samtakapur,2021-04-02T06:24:07.000Z,"Directives by 
@PMOIndia
 on #COVID19 control are working in delhi. With now 
@OfficialSdmc
 sealing buildings even with 1 case. Looks like a case of achieving targets of creating Quarantine zones, as directed by centre with no thought. Causing public inconvenience",,,2,,,"['https://pbs.twimg.com/media/Ex8s6iLVgAIYSPs?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ex8s8CBVcAAJF-o?format=jpg&name=360x360']",https://twitter.com/samtakapur/status/1377869432903462913
57,57,Yogya Empowering,@YogyaEmpowering,2021-04-02T02:48:00.000Z,"Atleast the government can ensure reopening of colleges with adequate covid protocols following our safe and precautious culture of conducting massive political rallies in the pandemic.  Education in pandemic can surely be managed if these rallies can...... 
@manojkjhadu","Quote Tweet
Manoj Kumar Jha
@manojkjhadu
 · Apr 1
On behalf of the students, staff and faculty members of different colleges/universities..wrote a letter to Hon. @EduMinOfIndia urging him to reopen universities and colleges with adequate #Covid protocols in place. #reopendelhiuniversity",,,1,2,"['https://pbs.twimg.com/profile_images/1272564766041497600/WwWSGmw0_mini.jpg', 'https://pbs.twimg.com/media/Ex4lSt7VEAIjrSF?format=jpg&name=900x900']",https://twitter.com/YogyaEmpowering/status/1377815047452258304
58,58,@Akashtv1Soni,@Akashtv1Soni,2021-04-02T13:35:29.000Z,"रंगपंचमी फाग यात्रा 2019 @ इंदौर

Oh! When shall we return to that Covid-free life!

Guys, get vaccinated.
@ravibhadoria
 @nanditathhakur",,,1,3,10,['https://pbs.twimg.com/ext_tw_video_thumb/1377977791912669194/pu/img/JzEBP8BrhTgmHssO.jpg'],https://twitter.com/Akashtv1Soni/status/1377977989774811138
