,Unnamed: 0,UserScreenName,UserName,Timestamp,Text,Embedded_text,Emojis,Comments,Likes,Retweets,Image link,Tweet URL,hashtag,cleaned words,Segmented#
10,10,OhioStateFan,@BuckeyeFanMandy,2021-04-01T23:59:01.000Z,Got my first COVID vaccination today. Wasn’t scheduled til next week but some people had already got theirs so they had extras. Didn’t want the shots to be wasted so to my surprise got the call and off I went. This is not just protection for myself but others that have serious,,,2,,6,['https://pbs.twimg.com/media/Ex7UzOpWYAERGRe?format=jpg&name=small'],https://twitter.com/BuckeyeFanMandy/status/1377772519218876417,[],"['got', 'first', 'covid', 'vaccination', 'today', 'scheduled', 'til', 'next', 'week', 'people', 'already', 'got', 'extra', 'want', 'shot', 'wasted', 'surprise', 'got', 'call', 'went', 'protection', 'others', 'serious']",
11,11,Chris Hahn,@ChristopherHahn,2021-04-01T23:53:56.000Z,Matt Gaetz Tucker Carlson and my COViD Shot. What a week.   lol,"Chris Hahn
@ChristopherHahn
Matt Gaetz Tucker Carlson and my COViD Shot. What a week. lol",,9,43,213,"['https://pbs.twimg.com/card_img/1388757285594275846/jGJq5VtX?format=jpg&name=orig', 'https://pbs.twimg.com/profile_images/1255264340/2sic_me_mini.jpg']",https://twitter.com/ChristopherHahn/status/1377771242695053316,[],"['matt', 'gaetz', 'tucker', 'carlson', 'covid', 'shot', 'week', 'lol']",
12,12,Thom Bird,@ThomboyD,2021-04-01T23:56:29.000Z,"Free Testing at 3 Black Churches, All San Diegans 50 and Older Can Get COVID-19 Vaccine | News | San Diego County News Center","All San Diegans 50 and Older Can Get COVID-19 Vaccine
More San Diegans will be able to get vaccinated against COVID-19 now that the state and the County have expanded eligibility to include all people between 50 and 64 years of age, the first group in...
countynewscenter.com",,,3,13,['https://pbs.twimg.com/card_img/1387917868952551426/YxLQKL5k?format=jpg&name=small'],https://twitter.com/ThomboyD/status/1377771885014884369,[],"['free', 'testing', 'black', 'church', 'san', 'diegans', 'older', 'get', 'covid', 'vaccine', 'news', 'san', 'diego', 'county', 'news', 'center']",
13,13,Jonathan Rosa,@DrJonathanRosa,2021-04-01T23:59:14.000Z,"“Latinos Account for Nearly Three-Quarters of COVID-19 Deaths Among 35- to 49- Year Olds in California”

If your analysis of Latinidad cannot account for this, then it is not an analysis of Latinidad.","California's Working-Age Latinos Are Disproportionately Dying of COVID-19 | KQED
As of March 24, nearly 10,000 Latinos under age 65 had died from COVID-19, four times the number of white Californians.
kqed.org",,1,71,187,['https://pbs.twimg.com/card_img/1385405863150587904/nwSP62zx?format=jpg&name=small'],https://twitter.com/DrJonathanRosa/status/1377772577423171595,[],"['latino', 'account', 'nearly', 'threequarters', 'covid', 'death', 'among', 'year', 'old', 'california', 'analysis', 'latinidad', 'cannot', 'account', 'analysis', 'latinidad']",
14,14,"Jolene, I Only Talk About Kittens Now",@jolenesbrain,2021-04-01T23:57:39.000Z,Congratulations on having so much privilege that you think covid restrictions = oppression.,,,,1,10,[],https://twitter.com/jolenesbrain/status/1377772177773133825,[],"['congratulation', 'much', 'privilege', 'think', 'covid', 'restriction', 'oppression']",
15,15,chaotic energy,@royasdigitalego,2021-04-01T23:53:23.000Z,thread on ontario's trainwreck of a public health strategy re: covid,"Quote Tweet
Leyley
@AshleyComrie
 · Apr 2
So, as a (relatively lol) young person who spent two months in hospital nearly dying  of Covid and just had my 4th post-covid surgery last week, I’m about to rant about this new Ontario Emergency break” so bear with me through my very first Twitter thread:
Show this thread",,,4,9,['https://pbs.twimg.com/profile_images/1377838971179438084/BJ-xnvqG_mini.jpg'],https://twitter.com/royasdigitalego/status/1377771101883928577,[],"['thread', 'ontarios', 'trainwreck', 'public', 'health', 'strategy', 'covid']",
16,16,Social Science in Humanitarian Action Platform,@SSHAP_action,2021-04-01T23:53:26.000Z,Great tweet about one of our latest briefs on smart cities and #COVID19,"Quote Tweet
NIUA_India
@NIUA_India
 · Apr 1
#SDIC @NIUA_India has published a #policy brief on the learnings around the use of technology & community data during the global pandemic in Indian cities under #SmartCitiesMission  (1/2) 
Read it here: https://bit.ly/2Pgv3LR
Show this thread",,,5,6,"['https://pbs.twimg.com/profile_images/644845493885865985/5XDAwdrX_mini.jpg', 'https://pbs.twimg.com/media/Ex3tPsCWEAECtoj?format=png&name=900x900']",https://twitter.com/SSHAP_action/status/1377771116777906178,['COVID19'],"['great', 'tweet', 'one', 'latest', 'brief', 'smart', 'city', 'covid']",covid 19
17,17,Shankar Dutta,@shankardutta117,2021-04-01T06:14:44.000Z,"Good morning World . ham sath sath hey 

Fiji PM Thanks India For One Lakh Doses Of COVID-19 Vaccines
https://republicworld.com/world-news/rest-of-the-world-news/fiji-pm-thanks-india-for-one-lakh-doses-of-covid-19-vaccines.html… via NaMo App",,,,,,"['https://pbs.twimg.com/media/Ex3hM_KUYAMgOBR?format=jpg&name=360x360', 'https://pbs.twimg.com/media/Ex3hNk_VcAYOdv8?format=jpg&name=360x360']",https://twitter.com/shankardutta117/status/1377504686878519299,[],"['good', 'morning', 'world', 'ham', 'sath', 'sath', 'hey', 'fiji', 'pm', 'thanks', 'india', 'one', 'lakh', 'dos', 'covid', 'vaccine', 'httpsrepublicworldcomworldnewsrestoftheworldnewsfijipmthanksindiaforonelakhdosesofcovidvaccineshtml', 'via', 'namo', 'app']",
18,18,Sumedha Sharma,@sumedhasharma86,2021-04-01T16:54:03.000Z,"#BreakingNews 381 #COVID19 cases in Gurugram situation set to worsen. Don't wate to be told but go #MaskUp get #vaccine and practise #SocialDistancing . 
@DC_Gurugram
 #Covid_19 #CoronavirusPandemic 
@COVID19_INDIA
 @COVIDNewsByMIB
 @coronaviruscare",,,,1,4,['https://pbs.twimg.com/media/Ex5zgJYVcAAwdLz?format=jpg&name=900x900'],https://twitter.com/sumedhasharma86/status/1377665575569133568,"['BreakingNews', 'COVID19', 'MaskUp', 'vaccine', 'SocialDistancing', 'Covid_19', 'CoronavirusPandemic']","['breakingnews', 'covid', 'case', 'gurugram', 'situation', 'set', 'worsen', 'dont', 'wate', 'told', 'go', 'maskup', 'get', 'vaccine', 'practise', 'socialdistancing', 'dc_gurugram', 'covid_', 'coronaviruspandemic', 'covid_india', 'covidnewsbymib', 'coronaviruscare']",breaking news covid 19  mask up vaccine  social distancing  covid _ 19  coronavirus pandemic
19,19,The Mad Marketer,@wbhavay,2021-04-01T05:23:36.000Z,"Still hoping, china comes up with a statement that covid was an April fool's joke. 

#AprilFoolsDay #COVID",,,,,8,[],https://twitter.com/wbhavay/status/1377491819014021120,"['AprilFoolsDay', 'COVID']","['still', 'hoping', 'china', 'come', 'statement', 'covid', 'wa', 'april', 'fools', 'joke', 'aprilfoolsday', 'covid']",april fools day covid
20,20,OXYGEN,@MILVETERAN,2021-04-01T15:27:40.000Z,900+ Fresh Covid cases in Lucknow . Situation Serious ,,❗,,5,5,[],https://twitter.com/MILVETERAN/status/1377643833991782407,[],"['fresh', 'covid', 'case', 'lucknow', 'situation', 'serious']",
21,21,Nikhil Nanda,@iamnikhilnanda,2021-04-01T09:06:55.000Z,"Gains made by #VaccinationDrive painstaking diligent implementation of #Covid19 guidelines can evaporate in no time if we go lax on #MaskUp #DoGajKiDooriMaskHaiZaruri rules. Follow, at least for sake of #coronawarriors who are not among us 
@drharshvardhan","कोरोना की नई लहर हुई विकराल, 24 घंटे में 72,330 नए केस, 459 लोगों की मौत
कोरोना वायरस संक्रमण की नई लहर अब विकराल हो चुकी है। बीते 24 घंटों में देश भर में कोरोना संक्रमण के 72,330 नए केस सामने आए हैं। यही नहीं मौतों का आंकड़ा भी तेजी से बढ़ते हुए 459 पर पहुंच गया है। अब...
livehindustan.com",,2,9,109,['https://pbs.twimg.com/card_img/1387693751494234116/JnrPQqDx?format=jpg&name=small'],https://twitter.com/iamnikhilnanda/status/1377548016962310144,"['VaccinationDrive', 'Covid19', 'MaskUp', 'DoGajKiDooriMaskHaiZaruri', 'coronawarriors']","['gain', 'made', 'vaccinationdrive', 'painstaking', 'diligent', 'implementation', 'covid', 'guideline', 'evaporate', 'time', 'go', 'lax', 'maskup', 'dogajkidoorimaskhaizaruri', 'rule', 'follow', 'least', 'sake', 'coronawarriors', 'among', 'u', 'drharshvardhan']",vaccination drive  covid 19  mask up  do gaj ki doori mask hai zaruri coronawarriors
22,22,Sanjay Bragta,@SanjayBragta,2021-04-01T16:37:45.000Z,"Maharashtra: 43,183 new cases of corona have been registered in the last 24 hours, while 249 people have died. #Gujarat reports its highest single-day spike of 2,410 #COVID19 cases","Quote Tweet
Sanjay Bragta
@SanjayBragta
 · Apr 1
NCR is showing surge in #COVID19 cases, Delhi recorded 2790 cases, highest number after December 8, Noida 93 cases in past 24 hours. Punjab reported 60 deaths and 3187 new cases in 24 hours. Who cares ?",,,3,16,['https://pbs.twimg.com/profile_images/1357030766539014146/QW23o0Rc_mini.jpg'],https://twitter.com/SanjayBragta/status/1377661473095176196,"['Gujarat', 'COVID19']","['maharashtra', 'new', 'case', 'corona', 'registered', 'last', 'hour', 'people', 'died', 'gujarat', 'report', 'highest', 'singleday', 'spike', 'covid', 'case']",gujarat covid 19
23,23,Anurag Singh Bohra,@AnuragfromKashi,2021-04-01T04:52:50.000Z,"The rise in #COVID19 cases is related to the #covidnewstrain. The vaccines were developed for #coronavirus first wave. It's high time #COVIDIOTS #WearAMask
 & maintain #SocialDistancing. 
@PMOIndia
, 
@HMOIndia
 & 
@MoHFW_INDIA
 must get into action. #CovidIsntOverYet #CoronaIsNotAJoke",,,,,,[],https://twitter.com/AnuragfromKashi/status/1377484076022566915,"['COVID19', 'covidnewstrain', 'coronavirus', 'COVIDIOTS', 'WearAMask', 'SocialDistancing', 'CovidIsntOverYet', 'CoronaIsNotAJoke']","['rise', 'covid', 'case', 'related', 'covidnewstrain', 'vaccine', 'developed', 'coronavirus', 'first', 'wave', 'high', 'time', 'covidiots', 'wearamask', 'maintain', 'socialdistancing', 'pmoindia', 'hmoindia', 'mohfw_india', 'must', 'get', 'action', 'covidisntoveryet', 'coronaisnotajoke']",covid 19 covidnewstrain coronavirus covidiots  wear a mask  social distancing  covid isnt over yet  corona is not a joke
24,24,Saidham,@saidhamngo,2021-04-01T04:14:44.000Z,"Bhagwat Katha which was scheduled to be held in Sai Dham, Sector 86, Faridabad from 8th to 14th April HAS BEEN CANCELLED DUE TO COVID NOTIFICATION OF THE HARYANA GOVT.",,,,,2,[],https://twitter.com/saidhamngo/status/1377474487776550912,[],"['bhagwat', 'katha', 'wa', 'scheduled', 'held', 'sai', 'dham', 'sector', 'faridabad', 'th', 'th', 'april', 'ha', 'cancelled', 'due', 'covid', 'notification', 'haryana', 'govt']",
25,25,Mudit,@MuditHastir,2021-04-01T17:46:50.000Z,"Total Covid Cases till date :

US : 31,175,882 
Brazil : 12,753,258
India : 12,753,258 
and
CHINA : 90,217 
Source : Worldometer ! 

And apparently it all started in Wuhan 
#WuhanVirus",,,,,,[],https://twitter.com/MuditHastir/status/1377678857369571329,['WuhanVirus'],"['total', 'covid', 'case', 'till', 'date', 'u', 'brazil', 'india', 'china', 'source', 'worldometer', 'apparently', 'started', 'wuhan', 'wuhanvirus']",wuhan virus
26,26,avli,@avli_verma,2021-04-01T08:40:01.000Z,My sympathies and highest regard to the bank employees!  *from demonetisation to gst to abrupt changes in other policies to protesting against bank privatization to working through the covid to making incessant death claims ...must have been  a heavy year for them*,"Quote Tweet
THE SKIN DOCTOR
@theskindoctor13
 · Apr 1
Replying to @nsitharaman
How can this be an oversight? Such policy decisions can't be just typed and broadcasted by some Babu or PA in a jiffy without the perusal of who's who of fin min. It looked deliberate and probably withdrawan due to outrage or the fear of impact on ongoing elections.",,,,,['https://pbs.twimg.com/profile_images/1381138399680102400/Hw-JFQhL_mini.jpg'],https://twitter.com/avli_verma/status/1377541248089681920,[],"['sympathy', 'highest', 'regard', 'bank', 'employee', 'demonetisation', 'gst', 'abrupt', 'change', 'policy', 'protesting', 'bank', 'privatization', 'working', 'covid', 'making', 'incessant', 'death', 'claim', 'must', 'heavy', 'year']",
27,27,Manoj Mishra,@manojmishra_100,2021-04-01T16:28:47.000Z,"Six months in a row over ₹1 lakh cr #GST collection, with ₹1.24 lakh cr in March, is really commendable!
Hope, this trend continues with better compliance.
With sections of economy yet to fully recover from #COVID shock, it augers well for a better #fiscalmanagement by Govt.","Quote Tweet
Prakash Javadekar
@PrakashJavdekar
 · Apr 1
At 1.24 Lakh Crore, GST collections for the month of March 2021, hit a record high since the introduction of GST. This is the sixth month in a row that GST revenues have crossed Rs 1 lakh cr. 

India under PM Shri @narendramodi is on the path of Growth, despite the pandemic.",,,,6,"['https://pbs.twimg.com/profile_images/1305535718647713798/_lzITGyP_mini.png', 'https://pbs.twimg.com/media/Ex5MxVNXABM_7Qq?format=png&name=small']",https://twitter.com/manojmishra_100/status/1377659215838208005,"['GST', 'COVID', 'fiscalmanagement']","['six', 'month', 'row', 'lakh', 'cr', 'gst', 'collection', 'lakh', 'cr', 'march', 'really', 'commendable', 'hope', 'trend', 'continues', 'better', 'compliance', 'section', 'economy', 'yet', 'fully', 'recover', 'covid', 'shock', 'auger', 'well', 'better', 'fiscalmanagement', 'govt']",gst covid fiscalmanagement
28,28,Stigmabase | AS,@PairsonnalitesA,2021-04-01T14:06:32.000Z,"INNR — How digital initiatives can help narrow the gender gap during COVID-19: There was a surge in India's usage of healthcare tele-consultation, with majority being first-time users. Telemedicine provided women with the ... View article... http://dlvr.it/RwplgC",,,,1,,[],https://twitter.com/PairsonnalitesA/status/1377623417822838804,[],"['innr', 'digital', 'initiative', 'help', 'narrow', 'gender', 'gap', 'covid', 'wa', 'surge', 'indias', 'usage', 'healthcare', 'teleconsultation', 'majority', 'firsttime', 'user', 'telemedicine', 'provided', 'woman', 'view', 'article', 'httpdlvritrwplgc']",
29,29,Aneesha Bedi,@AneeshaBedi,2021-04-01T04:04:12.000Z,"Drug maker to cold chain to hospital — how Covid vaccines reach beneficiaries across states

Be it transferring the money in a bank account for pvt hospitals or contacting the district immunisation officer for Govt hospital, I explain:  https://theprint.in/health/drug-maker-to-cold-chain-to-hospital-how-covid-vaccines-reach-beneficiaries-across-states/631598/… via 
@ThePrintIndia","Drug maker to cold chain to hospital — how Covid vaccines reach beneficiaries across states
From today, the Indian Covid immunisation drive enters a new chapter as a new section of population — all those aged 45 and above — is targeted.
theprint.in",,,2,9,['https://pbs.twimg.com/card_img/1387753631584186369/nU4p4VWr?format=jpg&name=small'],https://twitter.com/AneeshaBedi/status/1377471834061381632,[],"['drug', 'maker', 'cold', 'chain', 'hospital', 'covid', 'vaccine', 'reach', 'beneficiary', 'across', 'state', 'transferring', 'money', 'bank', 'account', 'pvt', 'hospital', 'contacting', 'district', 'immunisation', 'officer', 'govt', 'hospital', 'explain', 'httpstheprintinhealthdrugmakertocoldchaintohospitalhowcovidvaccinesreachbeneficiariesacrossstates', 'via', 'theprintindia']",
30,30,Ajay Awtaney,@LiveFromALounge,2021-04-01T02:50:55.000Z,"Morning folks. Today, 45 and upwards folks qualify for the covid19 vaccines in India. So, get yours if you qualify. Let’s get rid of this pandemic soonest.",,,,1,21,[],https://twitter.com/LiveFromALounge/status/1377453391387914248,[],"['morning', 'folk', 'today', 'upwards', 'folk', 'qualify', 'covid', 'vaccine', 'india', 'get', 'qualify', 'let', 'get', 'rid', 'pandemic', 'soonest']",
31,31,सुशील राघव Sushil Raghav,@Sushil_Raghav,2021-04-01T07:57:46.000Z,"Update on COVID-19 Vaccination*

Vaccination to be offered on ALL DAYS of April month at all Public and Private COVID Vaccination Centres, including gazetted holidays.",,,,,1,[],https://twitter.com/Sushil_Raghav/status/1377530615843627011,[],"['update', 'covid', 'vaccination', 'vaccination', 'offered', 'day', 'april', 'month', 'public', 'private', 'covid', 'vaccination', 'centre', 'including', 'gazetted', 'holiday']",
32,32,Syed Ahmad Afzāl (अफ़्ज़ाल),@afzalistan,2021-04-01T14:41:58.000Z,"In Delhi, barring the hospitals, I have scarcely witnessed people maintaining social distance & donning the mask, 2 things which can actually help us recover from this 2nd and more lethal surge of #COVID19. Please adhere to the guidelines and help save each other.

#COVIDー19","Quote Tweet
NDTV
@ndtv
 · Apr 1
#coronavirus",,,1,2,"['https://pbs.twimg.com/profile_images/570440108424171520/QuGYd7jH_mini.png', 'https://pbs.twimg.com/media/Ex5RDayXEAs7dp7?format=jpg&name=small']",https://twitter.com/afzalistan/status/1377632335567314949,"['COVID19', 'COVIDー19']","['delhi', 'barring', 'hospital', 'scarcely', 'witnessed', 'people', 'maintaining', 'social', 'distance', 'donning', 'mask', 'thing', 'actually', 'help', 'u', 'recover', 'nd', 'lethal', 'surge', 'covid', 'please', 'adhere', 'guideline', 'help', 'save', 'covidー']",covid 19 covidー 19
33,33,Tansukh Bitter,@Tansukh_bitter,2021-04-01T13:50:04.000Z,Bharat sarkar election kar sakte hai lekin Delhi University ko kyu nhi Reopen kar rhi hai election hota hai tab covid19 nhi hota lekin Jab Student ki bat Aati hai toh Covid-19 Aazata hai Aisa kyu Btahiye  #Sudent_ekta #delhiuniversity #delhiuniversity #reopendu #reopendu,,,,1,1,[],https://twitter.com/Tansukh_bitter/status/1377619273338748942,"['Sudent_ekta', 'delhiuniversity', 'delhiuniversity', 'reopendu', 'reopendu']","['bharat', 'sarkar', 'election', 'kar', 'sakte', 'hai', 'lekin', 'delhi', 'university', 'ko', 'kyu', 'nhi', 'reopen', 'kar', 'rhi', 'hai', 'election', 'hota', 'hai', 'tab', 'covid', 'nhi', 'hota', 'lekin', 'jab', 'student', 'ki', 'bat', 'aati', 'hai', 'toh', 'covid', 'aazata', 'hai', 'aisa', 'kyu', 'btahiye', 'sudent_ekta', 'delhiuniversity', 'delhiuniversity', 'reopendu', 'reopendu']",sudent _ ekta delhiuniversity delhiuniversity reopendu reopendu
34,34,𝒜𝓃𝓊𝒿 𝒥𝒶𝒾𝓃,@Jain_Anuj81,2021-04-01T14:48:13.000Z,"भारत के किस राज्य में कितना जुर्माना है ? मास्क न पहनने पर । #COVID #mask #CMO #India #Delhi #mumbai #kolkatta #madras #IPL2021
 #MatchDay2021 #बंगाल #नंदीग्राम #रामराज्य #RajasthanDay #ncr",,,,1,,[],https://twitter.com/Jain_Anuj81/status/1377633906103615493,"['COVID', 'mask', 'CMO', 'India', 'Delhi', 'mumbai', 'kolkatta', 'madras', 'IPL2021', 'MatchDay2021', 'ब', 'न', 'र', 'RajasthanDay', 'ncr']","['भ', 'रत', 'क', 'क', 'स', 'र', 'ज', 'य', 'म', 'क', 'तन', 'ज', 'र', 'म', 'न', 'ह', 'म', 'स', 'क', 'न', 'पहनन', 'पर', 'covid', 'mask', 'cmo', 'india', 'delhi', 'mumbai', 'kolkatta', 'madras', 'ipl', 'matchday', 'ब', 'ग', 'ल', 'न', 'द', 'ग', 'र', 'म', 'र', 'मर', 'ज', 'य', 'rajasthanday', 'ncr']",covid mask cmo  india  delhi mumbai kolkatta madras ipl 2021  match day 2021 ब न र  rajasthan day ncr
35,35,गिरिजेश कुमार گریجیش کمار یادو,@Iam_GIRIJESH,2021-04-01T17:11:56.000Z,भारत #COVID19 से कुछ इस तरह लड़ रहा है इसलिए वर्तमान समय में तमाम सरकारी निर्देशों और बढ़ते हुए केसों के बावजूद जनता में पिछले साल जैसा डर और जागरूकता नहीं है।जनता को ये बात समझ में आ गयी है कि कुछ खेला जरूर चल रहा है एक तरफ इतनी भीड़ में भी कोई दिक्कत नहीं दूसरी तरफ इतना दिखावा?,,,,,1,['https://pbs.twimg.com/media/Ex53oSzUUAIbbRG?format=jpg&name=small'],https://twitter.com/Iam_GIRIJESH/status/1377670073448468483,['COVID19'],"['भ', 'रत', 'covid', 'स', 'क', 'छ', 'इस', 'तरह', 'लड', 'रह', 'ह', 'इसल', 'ए', 'वर', 'तम', 'न', 'समय', 'म', 'तम', 'म', 'सरक', 'र', 'न', 'र', 'द', 'श', 'और', 'बढ', 'त', 'ह', 'ए', 'क', 'स', 'क', 'ब', 'वज', 'द', 'जनत', 'म', 'प', 'छल', 'स', 'ल', 'ज', 'स', 'डर', 'और', 'ज', 'गर', 'कत', 'नह', 'ह', 'जनत', 'क', 'य', 'ब', 'त', 'समझ', 'म', 'आ', 'गय', 'ह', 'क', 'क', 'छ', 'ख', 'ल', 'जर', 'र', 'चल', 'रह', 'ह', 'एक', 'तरफ', 'इतन', 'भ', 'ड', 'म', 'भ', 'क', 'ई', 'द', 'क', 'कत', 'नह', 'द', 'सर', 'तरफ', 'इतन', 'द', 'ख', 'व']",covid 19
36,36,AMIT CHOUDHARY,@amitchoudhar_y,2021-04-01T10:30:30.000Z,"लखनऊ :फन मॉल सील किया गया ।
डीएम अभिषेक प्रकाश की बड़ी कार्रवाई ।
#COVID19 की गाइडलाइंस का उलंघन करने पर मॉल सील किया गया । 
नोटिस दिए जाने के बाद भी कोविड-19 प्रोटोकॉल का लगातार हो रहा था उल्लंघन ।
@AdminLKO
#COVID",,,,1,1,['https://pbs.twimg.com/ext_tw_video_thumb/1377569013186760706/pu/img/RjiRCYvvFPdhh7ha.jpg'],https://twitter.com/amitchoudhar_y/status/1377569051199741955,"['COVID19', 'COVID']","['लखनऊ', 'फन', 'म', 'ल', 'स', 'ल', 'क', 'य', 'गय', 'ड', 'एम', 'अभ', 'ष', 'क', 'प', 'रक', 'श', 'क', 'बड', 'क', 'र', 'रव', 'ई', 'covid', 'क', 'ग', 'इडल', 'इ', 'स', 'क', 'उल', 'घन', 'करन', 'पर', 'म', 'ल', 'स', 'ल', 'क', 'य', 'गय', 'न', 'ट', 'स', 'द', 'ए', 'ज', 'न', 'क', 'ब', 'द', 'भ', 'क', 'व', 'ड', 'प', 'र', 'ट', 'क', 'ल', 'क', 'लग', 'त', 'र', 'ह', 'रह', 'थ', 'उल', 'ल', 'घन', 'adminlko', 'covid']",covid 19 covid
